"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
12.11 20.695 18.62 33.81 6.82 23.52 21.04
12 20.435 18.84 33.83 6.82666666666667 23.11 21.31
11.82 20.465 19.39 34.41 6.73 23.46 20.99
12.045 20.2075 19.46 33.04 6.765 23.05 20.39
11.85 20.1475 18.98 34.03 6.64 23.3 20.3
12.005 20.77 19.06 34.67 7.01166666666667 23.63 21.14
12.215 20.965 19.31 35.97 7.07666666666667 23.68 22.19
12.29 20.465 19.2 35.22 7.01166666666667 24.14 21.36
12.09 20.655 18.89 36.72 7.13833333333333 24.07 22.36
11.995 20.79 18.88 37.13 7.25666666666667 24.31 23.1
11.75 20.5975 19.01 37.21 7.14333333333333 24.33 21.34
11.845 20.9725 19.73 38.21 7.23166666666667 24.74 21.34
11.645 20.785 19.56 37.35 7.21333333333333 24.67 21.12
11.54 20.75 19.45 36.27 6.97666666666667 24.8 20.05
11.555 21.07 19.42 37.3 6.955 25.05 20.49
11.42 20.6625 19.42 37.45 6.87666666666667 24.84 20.3
11.555 21.6 20.05 37.61 7.11833333333333 25.8 21.41
11.62 21.43 20.5 36.89 7.19333333333333 26.14 21.25
11.855 21.8025 20.56 35.8 7.21333333333333 26.28 20.95
12.005 21.845 20.71 37.02 7.37666666666667 26.58 21.45
11.795 21.8675 20.9 37 7.32166666666667 26.59 21.84
11.96 21.7625 21.13 36.89 7.32333333333333 26.57 22.6
12.185 21.9025 21.05 37.5 7.45833333333333 27.09 23.29
12.225 22.225 21.34 37.64 7.56 27.59 23.62
12.11 21.86 21.59 36.64 7.22166666666667 27.04 23.12
11.995 22.0825 21.49 36.19 7.345 26.91 22.8
12.145 22.2625 21.56 35.82 7.36166666666667 27.11 22.72
12.37 22.2675 22.2 36.03 7.46666666666667 27.31 22.6
12.34 22.645 22.11 36.97 7.54166666666667 27.17 22.57
12.195 22.715 22.03 36.63 7.48 26.86 22.6
11.94 22.31 21.71 37.07 7.33666666666667 26.28 22.25
11.695 22.3125 21.56 36.68 7.23333333333333 26.3 23.01
11.615 22.255 21.88 36.52 7.12166666666667 26.25 23.68
11.835 22.5475 22.01 37.14 7.32333333333333 27.24 24.19
11.835 23.0075 22.01 37.64 7.33 27.12 24.17
11.77 22.9275 22.01 38.27 7.46333333333333 28.09 24.26
11.775 23.045 22.38 39.09 7.50833333333333 28.88 25.32
11.785 23.32 22.27 38.57 7.14833333333333 28.29 24.97
11.76 23.8075 22.88 39.62 7.49333333333333 28.78 25.45
11.66 23.625 22.63 39.63 7.47166666666667 28.4 25.54
11.68 23.5275 22.41 39.4 7.50333333333333 28.83 25.2
11.605 23.765 22.43 39.25 7.51 28.93 25.11
11.75 23.79 22.29 39.08 7.58 29.02 24.63
11.335 23.8875 21.53 38.89 7.70333333333333 29.89 23.98
11.485 23.615 21.15 38.17 7.56666666666667 29.2 23.71
11.63 23.65 21.15 38.21 7.525 29.26 23.26
11.585 23.6625 20.91 37.91 7.48166666666667 30.04 22.85
11.585 23.63 21.07 38.17 7.42166666666667 30.19 22.85
11.315 23.89 21.43 38.41 7.525 30.63 22.21
11.345 23.905 21.05 39.7 7.535 31.09 21.71
11.28 24.265 20.97 39.76 7.66333333333333 30.95 22.06
11.425 24.43 20.47 40.18 7.65333333333333 30.11 22.56
11.33 23.935 20.72 40.03 7.6 30.34 22.19
11.255 23.925 21.01 40.22 7.53333333333333 30.32 22.04
11.355 24.035 20.96 40.27 7.40666666666667 29.81 22.25
11.54 24.3425 21.4 40.42 7.485 28.94 22.08
11.58 24.8375 21.87 41.18 7.67833333333333 29.44 22.85
11.685 25.1 22.29 41.37 7.87 29.84 23.43
11.7 24.76 22.19 41.09 7.74666666666667 29.55 23
11.555 24.8925 22.33 40.99 7.715 29.6 23.28
11.245 24.825 22.67 40.23 7.81166666666667 29.65 22.85
11.31 25.0375 22.8 40.56 7.89333333333333 29.84 23.65
11.295 24.9775 23.04 40.22 7.98166666666667 30.03 23.64
11.355 25.08 22.56 40.06 7.83166666666667 29.91 23.72
11.23 25.305 22.52 40.17 7.96333333333333 29.76 24.53
11.56 25.55 23.19 40.96 8.30333333333333 30.71 24.53
11.435 25.8075 22.74 40.7 8.18333333333333 31.36 24.03
11.57 25.69 22.29 39.35 7.865 29.27 23.24
11.37 25.695 22.32 39.42 7.66833333333333 29.46 23
11.245 25.65 22.21 40.45 7.84833333333333 29.57 23.02
11.205 25.5925 22.51 40.18 7.77833333333333 29.63 22.75
11.12 25.7175 22.85 40.08 7.84166666666667 29.66 23.06
10.77 25.695 23 40.82 7.94833333333333 30.37 23.67
11.16 25.59 23.09 41.82 8.19333333333333 30.78 24.04
10.915 25.6275 23.17 41.66 8.425 31.69 23.28
10.92 25.7025 22.66 42.33 8.41666666666667 30.88 23.16
10.795 25.8575 22.98 42.91 8.615 31.33 22.84
10.875 25.7125 23.02 43.19 8.68666666666667 31.41 22.48
10.975 25.6025 23.3 42.98 8.81166666666667 31.29 23.23
11.555 26.015 23.82 44.15 8.83 31.21 23.1
11.44 26.26 23.76 43.23 8.725 31 22.7
11.655 26.405 23.5 43.48 8.85666666666667 31.29 23.22
11.835 26.5025 23.24 45.21 9.03333333333333 31.72 23.45
11.675 26.855 24.04 45.97 9.23 32.3 23.28
11.66 26.5525 24.51 46.83 9.11166666666667 31.67 22.78
11.65 26.3575 24.42 46.79 9.02666666666667 31.29 22.89
11.555 26.555 24.41 46.6 9.25 30.78 22.33
11.86 26.4075 24.37 46.62 9.48666666666667 30.99 22.34
12.125 26.5475 24.22 46.52 9.44333333333333 30.64 21.93
12.575 26.6225 24.73 46.93 9.49666666666667 30.4 21.59
12.53 26.525 24.15 46.79 9.39666666666667 30.75 21.05
12.305 26.355 24.11 46.75 9.48166666666667 30.88 21.16
12.205 26.4075 24.31 45.97 9.41166666666667 31.02 20.58
12.38 26.2575 24.09 45.97 9.14 30.81 20.63
12.39 26.32 23.73 45.97 9.095 30.85 21.14
12.245 26.335 23.99 45.5 9.02166666666667 30.72 21.33
12.085 25.9775 24.18 46.13 9.07333333333333 30.99 21.26
12.11 26.4775 24.22 47.37 9.26333333333333 31.47 20.83
12.165 26.5625 24.66 48.37 9.14666666666667 31.92 20.97
11.915 26.0225 25.08 47.41 9.035 32.08 20.82
12.26 26.39 25.3 48.04 9.14166666666667 32.67 21.52
12.255 26.6125 25.18 47.65 9.11 32.88 21.64
12.385 26.6725 25.15 47.41 9.115 32.56 21.43
12.185 26.7125 24.85 47.4 9.125 33.08 21.66
12.205 26.48 24.82 47.31 9.04166666666667 32.9 21.49
12.205 26.3825 25.22 48.39 9.02 32.33 21.05
12.235 26.8 26.28 47.89 9.295 33.27 21.72
12.225 27.1475 26.09 48.28 9.535 33.99 21.59
12.39 26.89 25.52 46.74 9.07833333333333 32.37 20.76
12.4 26.9525 25.31 45.97 8.87833333333333 33.09 20.25
12.355 27.0025 25.28 46.45 9.045 31.87 20.15
12.57 26.915 25.25 45.33 8.925 31.97 20.49
13.085 27.5425 25.31 45.23 8.795 31.44 20.81
13.375 27.3525 24.75 46.16 8.97 33.13 20.78
13.115 27.3625 24.4 47.55 9.10833333333333 33.26 21.07
12.83 26.4975 23.5 45.17 8.83 32.23 21.59
12.81 26.4525 22.77 45.16 8.52666666666667 31.73 20.92
12.705 26.2575 22.86 45.48 8.50166666666667 32.09 18.91
12.62 25.78 23.21 44.1 8.495 31.72 18.95
12.69 26.2325 24.05 44.25 8.47666666666667 31.94 19.44
12.83 25.9775 23.49 43.09 8.21833333333333 30.35 18.84
12.55 25.27 23.76 42.57 8.18833333333333 29.94 19
12.37 25.1725 23.92 41.51 8.055 28.99 18.99
12.57 25.05 24.01 41.28 8.04333333333333 28.8 18.81
12.87 25.51 24.66 41.81 8.28166666666667 29.4 19.36
12.84 25.825 24.82 42.48 8.56166666666667 30.42 19.75
12.935 25.5875 24.26 42.52 8.12333333333333 28.89 19.72
12.985 25.3625 24.53 41.16 8.04666666666667 29.03 19.67
12.765 25.875 24.42 40.41 8.19833333333333 29.15 19.66
13.09 26.16 24.64 41.28 8.48833333333333 29.66 20.39
12.535 25.86 24.71 43.58 8.66833333333333 31.71 21.06
12.11 25.775 24.07 42.86 8.51833333333333 32.14 20.07
12.315 25.4625 24.46 43.04 8.39666666666667 31.53 20.49
12.565 25.1825 24.72 43.02 8.33 30.99 20.95
12.54 24.93 24.48 41.7 8.42833333333333 31.68 20.69
12.605 25.0525 24.09 40.7 8.34833333333333 30.55 20.78
12.535 24.71 23.86 40.28 8.03666666666667 30.88 20.83
12.3 24.39 23.77 39.94 7.57166666666667 30.04 20.34
12.295 24.5825 23.58 39.78 7.64166666666667 30.45 20.65
12.52 25.0825 24.25 40.58 7.9 29.75 21.27
12.65 25.195 24.25 41.08 7.84 29.32 21.01
12.775 25.2025 25.04 41.91 8.04333333333333 29.82 22.53
12.605 24.415 25.62 42.44 7.9 29.18 22.51
12.835 24.6625 24.98 43.01 8.07166666666667 28.79 22.51
